ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result
KXAAAGASD-26JUN14-4.065,KXAAAGASD-26JUN14,Economics,yes,100,0,100,89.0,8900,69,1031,0.11584269662921348,1781398800,1781445093,46293,yes
KXAAAGASD-26JUN29-3.850,KXAAAGASD-26JUN29,Economics,yes,5,0,5,97.0,485,2,13,0.026804123711340205,1782676800,1782738742,61942,yes
KXAAAGASD-26MAY26-4.475,KXAAAGASD-26MAY26,Economics,yes,76,0,76,96.0,7296,21,283,0.038788377192982455,1779753600,1779800311,46711,yes
KXAAAGASM-26MAY31-4.32,KXAAAGASM-26MAY31,Economics,yes,100,0,100,97.0,9700,21,279,0.028762886597938145,1780164000,1780243550,79550,yes
KXAAAGASW-26JUN22-3.926,KXAAAGASW-26JUN22,Economics,yes,15,0,15,93.0,1395,7,98,0.07025089605734768,1782050400,1782134444,84044,yes
KXATTENDUFC250-26JUN-KPAT,KXATTENDUFC250-26JUN,Politics,yes,100,0,100,90.0,9000,63,937,0.10411111111111111,1781488800,1781524173,35373,yes
KXB200Q-26JUN30-5.670,KXB200Q-26JUN30,Science and Technology,yes,48,0,48,87.0,4176,39,585,0.1400862068965517,1782082800,1782142184,59384,yes
KXCAPRIMARY-11FIRST26-SWIE,KXCAPRIMARY-11FIRST26,Elections,yes,7,0,7,92.0,644,4,52,0.08074534161490683,1779296400,1783731070,4434670,yes
KXCAPRIMARY-52FIRST26-JVAR,KXCAPRIMARY-52FIRST26,Elections,yes,39,0,39,96.0,3744,11,145,0.03872863247863248,1777039200,1783732129,6692929,yes
KXFETTERMANSWITCH-26MAY-JUN01,KXFETTERMANSWITCH-26MAY,Politics,yes,4,0,4,10.0,40,3,-43,-1.075,1779076800,1780326380,1249580,no
KXH200Q-26JUN30-3.990,KXH200Q-26JUN30,Science and Technology,yes,28,0,28,97.0,2716,6,78,0.028718703976435934,1782277200,1782830381,553181,yes
