ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result
KXAAAGASD-26JUL07-3.795,KXAAAGASD-26JUL07,Economics,no,339,0,339,91.0,30849,195,2856,0.09257998638529612,1783346400,1783425334,78934,no
KXAAAGASD-26JUN14-4.065,KXAAAGASD-26JUN14,Economics,yes,35,0,35,75.0,2625,46,829,0.3158095238095238,1781370000,1781445093,75093,yes
KXAAAGASD-26JUN14-4.085,KXAAAGASD-26JUN14,Economics,no,55,0,55,97.0,5335,12,153,0.02867853795688847,1781370000,1781445093,75093,no
KXAAAGASD-26JUN29-3.850,KXAAAGASD-26JUN29,Economics,yes,5,0,5,97.0,485,2,13,0.026804123711340205,1782676800,1782738742,61942,yes
KXAAAGASD-26MAY26-4.475,KXAAAGASD-26MAY26,Economics,yes,87,0,87,97.0,8439,18,243,0.028794880910060435,1779735600,1779800311,64711,yes
KXAAAGASM-26MAY31-4.32,KXAAAGASM-26MAY31,Economics,yes,16,0,16,71.0,1136,24,440,0.3873239436619718,1780009200,1780243550,234350,yes
KXAAAGASW-26JUL06-3.700,KXAAAGASW-26JUL06,Economics,yes,2,0,2,95.0,190,1,9,0.04736842105263158,1782752400,1783339844,587444,yes
KXAAAGASW-26JUN22-3.926,KXAAAGASW-26JUN22,Economics,no,10,0,10,85.0,850,9,-859,-1.0105882352941176,1781906400,1782134444,228044,yes
KXAPRPOTUS-26JUL03-41.3,KXAPRPOTUS-26JUL03,Politics,no,24,0,24,93.0,2232,11,157,0.07034050179211469,1782500400,1783095054,594654,no
KXAPRPOTUS-26JUN26-41.2,KXAPRPOTUS-26JUN26,Politics,no,1,0,1,89.0,89,1,10,0.11235955056179775,1781888400,1782489838,601438,no
KXATTENDUFC250-26JUN-KPAT,KXATTENDUFC250-26JUN,Politics,no,1,0,1,80.0,80,2,-82,-1.025,1780707600,1781524173,816573,yes
KXB200Q-26JUN30-5.670,KXB200Q-26JUN30,Science and Technology,no,3,0,3,71.0,213,5,-218,-1.0234741784037558,1781301600,1782142184,840584,yes
KXDJTATTACKNETANYAHU-26JUN-26JUN08,KXDJTATTACKNETANYAHU-26JUN,Politics,no,8,0,8,95.0,760,3,37,0.04868421052631579,1780416000,1780937734,521734,no
KXEOWEEK-26MAY30-1,KXEOWEEK-26MAY30,Politics,no,16,0,16,71.0,1136,24,-1160,-1.0211267605633803,1779976800,1780520906,544106,yes
KXFABLERESTORE-27-26JUN20,KXFABLERESTORE-27,Science and Technology,no,1,0,1,96.0,96,1,3,0.03125,1781366400,1781967848,601448,no
KXFISAEXTEND-26MAY-JUN12,KXFISAEXTEND-26MAY,Politics,no,25,0,25,79.0,1975,30,495,0.25063291139240507,1780524000,1781275176,751176,no
KXFISAEXTEND-26MAY-JUN14,KXFISAEXTEND-26MAY,Politics,yes,25,0,25,81.0,2025,27,-2052,-1.0133333333333334,1780686000,1781448413,762413,no
KXGOVNMNOMR-26-DTUR,KXGOVNMNOMR-26,Elections,no,23,0,23,90.0,2070,15,215,0.10386473429951691,1780171200,1780459745,288545,no
KXGOVOKNOMR-26-CKEA,KXGOVOKNOMR-26,Elections,no,6,0,6,97.0,582,2,16,0.027491408934707903,1780869600,1781663433,793833,no
KXH100WS-26JUL03-3.250,KXH100WS-26JUL03,Financials,no,18,0,18,95.0,1710,6,84,0.04912280701754386,1782921600,1783359334,437734,no
KXH200Q-26JUN30-3.990,KXH200Q-26JUN30,Science and Technology,yes,1,0,1,92.0,92,1,7,0.07608695652173914,1782273600,1782830381,556781,yes
KXH200WS-26JUL10-4.000,KXH200WS-26JUL10,Financials,yes,22,0,22,82.0,1804,23,373,0.20676274944567627,1783634400,1783718269,83869,yes
KXHIGHCHI-26JUN09-B84.5,KXHIGHCHI-26JUN09,Climate and Weather,no,2,0,2,87.0,174,2,24,0.13793103448275862,1780934400,1781092904,158504,no
KXHIGHCHI-26JUN21-T69,KXHIGHCHI-26JUN21,Climate and Weather,no,39,0,39,91.0,3549,23,328,0.0924204001127078,1781971200,1782129664,158464,no
KXHIGHLAX-26JUN26-B72.5,KXHIGHLAX-26JUN26,Climate and Weather,no,25,0,25,73.0,1825,35,-1860,-1.0191780821917809,1782406800,1782559883,153083,yes
KXHIGHNY-26MAY28-B80.5,KXHIGHNY-26MAY28,Climate and Weather,no,2,0,2,97.0,194,1,5,0.02577319587628866,1779915600,1780056126,140526,no
KXHIGHTBOS-26MAY24-B57.5,KXHIGHTBOS-26MAY24,Climate and Weather,no,1,0,1,75.0,75,2,23,0.30666666666666664,1779562800,1779708761,145961,no
KXHIGHTLV-26JUN23-B107.5,KXHIGHTLV-26JUN23,Climate and Weather,no,6,0,6,74.0,444,9,147,0.3310810810810811,1782147600,1782300693,153093,no
KXHIGHTMIN-26MAY24-B82.5,KXHIGHTMIN-26MAY24,Climate and Weather,yes,30,0,30,74.0,2220,41,739,0.33288288288288287,1779656400,1779708761,52361,yes
KXHORMUZWEEKLY-26JUL05-T175,KXHORMUZWEEKLY-26JUL05,Politics,yes,53,0,53,78.0,4134,64,1102,0.26656990807934206,1782914400,1783435734,521334,yes
KXHORMUZWEEKLY-26JUN21-T10,KXHORMUZWEEKLY-26JUN21,Politics,yes,1,0,1,92.0,92,1,7,0.07608695652173914,1781496000,1782225261,729261,yes
KXICEERO-26MAR-26JUN13,KXICEERO-26MAR,Politics,yes,26,0,26,97.0,2522,6,72,0.028548770816812053,1781092800,1781107044,14244,yes
KXINSOSNOMR-26-DMOR,KXINSOSNOMR-26,Elections,no,1,0,1,89.0,89,1,10,0.11235955056179775,1781568000,1782060715,492715,no
KXINSOSNOMR-26-MENG,KXINSOSNOMR-26,Elections,yes,1,0,1,79.0,79,2,19,0.24050632911392406,1781553600,1782060715,507115,yes
KXINX-26JUN25H1600-B7462,KXINX-26JUN25H1600,Financials,no,35,0,35,86.0,3010,30,460,0.15282392026578073,1782396000,1782428500,32500,no
KXINX-26JUN26H1600-B7212,KXINX-26JUN26H1600,Financials,no,20,0,20,97.0,1940,5,55,0.028350515463917526,1782460800,1782514903,54103,no
KXLAGODAYS-26JUN-0,KXLAGODAYS-26JUN,Politics,yes,4,0,4,97.0,388,1,11,0.028350515463917526,1782057600,1782922451,864851,yes
KXLAGODAYS-26MAY-2,KXLAGODAYS-26MAY,Politics,no,135,0,135,97.0,13095,28,377,0.028789614356624665,1779426000,1780325390,899390,no
KXLLM1-26MAY31-A,KXLLM1-26MAY31,Science and Technology,yes,12,0,12,97.0,1164,3,33,0.028350515463917526,1779379200,1780272580,893380,yes
KXLOWTMIA-26JUN21-B77.5,KXLOWTMIA-26JUN21,Climate and Weather,no,25,0,25,73.0,1825,35,640,0.3506849315068493,1782018000,1782127884,109884,no
KXMAKERFIELDBY-27JAN01-LAB,KXMAKERFIELDBY-27JAN01,Elections,yes,176,0,176,90.0,15840,111,1649,0.10410353535353535,1780977600,1781839738,862138,yes
KXMAKERFIELDMOV-MAKERFIELDBY27JAN01-ABUR-P7,KXMAKERFIELDMOV-MAKERFIELDBY27JAN01,Elections,no,1,0,1,83.0,83,1,16,0.1927710843373494,1781211600,1781839787,628187,no
KXMATHAI-26JUN30-CHAT,KXMATHAI-26JUN30,Science and Technology,no,1,0,1,97.0,97,1,2,0.020618556701030927,1782662400,1782833221,170821,no
KXME02D-26-JWOO,KXME02D-26,Elections,no,1,0,1,97.0,97,1,2,0.020618556701030927,1781053200,1781874228,821028,no
KXNBAATTEND-26KNICKS-SAB,KXNBAATTEND-26KNICKS,Politics,no,2,0,2,81.0,162,3,35,0.21604938271604937,1780642800,1781502733,859933,no
KXNY12D-26-MLAS,KXNY12D-26,Elections,yes,12,0,12,70.0,840,18,342,0.40714285714285714,1781683200,1782268791,585591,yes
KXPAYROLLS-26JUN-T20000,KXPAYROLLS-26JUN,Economics,yes,48,0,48,89.0,4272,33,495,0.11587078651685394,1782597600,1782998874,401274,yes
KXPAYROLLS-26JUN-T40000,KXPAYROLLS-26JUN,Economics,no,2,0,2,94.0,188,1,-189,-1.0053191489361701,1782442800,1782998874,556074,yes
KXPAYROLLS-26MAY-T110000,KXPAYROLLS-26MAY,Economics,no,1,0,1,78.0,78,2,-80,-1.0256410256410255,1779811200,1780668754,857554,yes
KXPRIMARYMOV-KXGOVSCNOMR26-AWIL-P2,KXPRIMARYMOV-KXGOVSCNOMR26,Elections,no,2,0,2,95.0,190,1,9,0.04736842105263158,1781906400,1782766560,860160,no
KXPRIMESPEND-26JUN27-T28,KXPRIMESPEND-26JUN27,Economics,no,3,0,3,78.0,234,4,62,0.26495726495726496,1781834400,1782658534,824134,no
KXPULTEDNI-26JUL01-07,KXPULTEDNI-26JUL01,Politics,no,85,0,85,82.0,6970,88,-7058,-1.0126255380200861,1781046000,1781880088,834088,yes
KXSAMSUNGSTRIKE-26-JUN01,KXSAMSUNGSTRIKE-26,Economics,no,7,0,7,96.0,672,2,26,0.03869047619047619,1779454800,1780322520,867720,no
KXSCRGOVADVANCE-26JUN09-RRED,KXSCRGOVADVANCE-26JUN09,Elections,no,2,0,2,92.0,184,2,14,0.07608695652173914,1780956000,1781239176,283176,no
KXSDRGOVADVANCE-26JUN03-TDOE,KXSDRGOVADVANCE-26JUN03,Elections,yes,4,0,4,79.0,316,5,79,0.25,1780455600,1780510044,54444,yes
KXTARIFFRATEPRC-26JUL01-24,KXTARIFFRATEPRC-26JUL01,Politics,no,5,0,5,97.0,485,2,13,0.026804123711340205,1782500400,1782918833,418433,no
KXTAYLORSWIFTWEDDINGATTEND-28DEC-MAR,KXTAYLORSWIFTWEDDINGATTEND-28DEC31,Entertainment,yes,36,0,36,86.0,3096,31,-3127,-1.0100129198966408,1782867600,1783365894,498294,no
KXTAYLORSWIFTWEDDINGATTEND-28DEC31-BLA,KXTAYLORSWIFTWEDDINGATTEND-28DEC31,Entertainment,no,3,0,3,82.0,246,4,50,0.2032520325203252,1782403200,1783264524,861324,no
KXTAYLORSWIFTWEDDINGATTEND-28DEC31-BRI,KXTAYLORSWIFTWEDDINGATTEND-28DEC31,Entertainment,yes,3,0,3,90.0,270,2,28,0.1037037037037037,1782406800,1783265194,858394,yes
KXTAYLORSWIFTWEDDINGATTEND-28DEC31-GRA,KXTAYLORSWIFTWEDDINGATTEND-28DEC31,Entertainment,yes,1,0,1,80.0,80,2,18,0.225,1782788400,1783264844,476444,yes
KXTAYLORSWIFTWEDDINGATTEND-28DEC31-PAT,KXTAYLORSWIFTWEDDINGATTEND-28DEC31,Entertainment,yes,3,0,3,92.0,276,2,22,0.07971014492753623,1782442800,1783265204,822404,yes
KXTRUEV-26MAY28-T1305.21,KXTRUEV-26MAY28,Economics,no,1,0,1,93.0,93,1,6,0.06451612903225806,1779940800,1780062336,121536,no
KXTRUFTSA-26MAY27-T2320000,KXTRUFTSA-26MAY27,Economics,yes,14,0,14,85.0,1190,13,197,0.16554621848739495,1779858000,1780014727,156727,yes
KXTRUMPACT-26JUN07-T15,KXTRUMPACT-26JUN07,Politics,no,12,0,12,95.0,1140,4,56,0.04912280701754386,1780866000,1781448393,582393,no
KXTRUMPACT-26JUN14-T2,KXTRUMPACT-26JUN14,Politics,yes,1,0,1,93.0,93,1,-94,-1.010752688172043,1781470800,1782053955,583155,no
KXTRUMPACT-26JUN21-T5,KXTRUMPACT-26JUN21,Politics,yes,1,0,1,72.0,72,2,26,0.3611111111111111,1782133200,1782658744,525544,yes
KXTRUMPACT-26MAY24-T1,KXTRUMPACT-26MAY24,Politics,yes,1,0,1,97.0,97,1,2,0.020618556701030927,1779930000,1780253180,323180,yes
