ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result
KXAAAGASD-26JUL07-3.795,KXAAAGASD-26JUL07,Economics,no,339,339,0,81.0,27459,0,6441,0.2345679012345679,1783346400,1783425334,78934,no
KXAAAGASD-26JUN14-4.065,KXAAAGASD-26JUN14,Economics,yes,26,26,0,57.0,1482,0,1118,0.7543859649122807,1781366400,1781445093,78693,yes
KXAAAGASD-26MAY26-4.475,KXAAAGASD-26MAY26,Economics,yes,225,225,0,96.0,21600,0,900,0.041666666666666664,1779760800,1779800311,39511,yes
KXAAAGASM-26MAY31-4.32,KXAAAGASM-26MAY31,Economics,yes,10,10,0,82.0,820,3,177,0.21585365853658536,1780063200,1780243550,180350,yes
KXAAAGASW-26JUN22-3.926,KXAAAGASW-26JUN22,Economics,no,1,1,0,56.0,56,0,-56,-1.0,1781942400,1782134444,192044,yes
KXAISPIKE-26B-1550,KXAISPIKE-26B,Science and Technology,no,4,4,0,98.0,392,0,8,0.02040816326530612,1782126000,1782920882,794882,no
KXAPRPOTUS-26JUL03-41.3,KXAPRPOTUS-26JUL03,Politics,no,2,2,0,92.0,184,0,16,0.08695652173913043,1782500400,1783095054,594654,no
KXAPRPOTUS-26JUN26-41.2,KXAPRPOTUS-26JUN26,Politics,no,10,10,0,80.0,800,0,200,0.25,1781892000,1782489838,597838,no
KXATTENDUFC250-26JUN-KPAT,KXATTENDUFC250-26JUN,Politics,no,1,1,0,64.0,64,0,-64,-1.0,1780790400,1781524173,733773,yes
KXB200Q-26JUN30-5.670,KXB200Q-26JUN30,Science and Technology,no,7,7,0,53.0,371,0,-371,-1.0,1781301600,1782142184,840584,yes
KXCBDECISIONENGLAND-26JUN18-H25P,KXCBDECISIONENGLAND-26JUN18,Economics,no,12,12,0,95.0,1140,0,60,0.05263157894736842,1781262000,1781790318,528318,no
KXDJTATTACKNETANYAHU-26JUN-26JUN08,KXDJTATTACKNETANYAHU-26JUN,Politics,no,4,4,0,92.0,368,0,32,0.08695652173913043,1780488000,1780937734,449734,no
KXDJTATTACKWARSH-27-JUL,KXDJTATTACKWARSH-27,Politics,no,7,7,0,93.0,651,0,49,0.07526881720430108,1782172800,1782916803,744003,no
KXEOWEEK-26MAY30-1,KXEOWEEK-26MAY30,Politics,yes,30,30,0,58.0,1740,0,1260,0.7241379310344828,1779739200,1780520906,781706,yes
KXFABLERESTORE-27-26JUN20,KXFABLERESTORE-27,Science and Technology,no,1,1,0,67.0,67,0,33,0.4925373134328358,1781384400,1781967848,583448,no
KXFISAEXTEND-26MAY-JUN12,KXFISAEXTEND-26MAY,Politics,yes,125,125,0,50.0,6250,0,-6250,-1.0,1780502400,1781275176,772776,no
KXFISAEXTEND-26MAY-JUN14,KXFISAEXTEND-26MAY,Politics,yes,75,75,0,74.0,5550,0,-5550,-1.0,1780686000,1781448413,762413,no
KXGOVNMNOMR-26-DTUR,KXGOVNMNOMR-26,Elections,no,68,68,0,85.0,5780,0,1020,0.17647058823529413,1780171200,1780459745,288545,no
KXGOVOKNOMR-26-CKEA,KXGOVOKNOMR-26,Elections,no,18,18,0,97.0,1746,0,54,0.030927835051546393,1781146800,1781663433,516633,no
KXH200Q-26JUN30-3.990,KXH200Q-26JUN30,Science and Technology,yes,5,5,0,91.0,455,0,45,0.0989010989010989,1782273600,1782830381,556781,yes
KXH200WS-26JUL10-4.000,KXH200WS-26JUL10,Financials,yes,8,8,0,59.0,472,0,328,0.6949152542372882,1783198800,1783718269,519469,yes
KXHEGSETHANNOUNCEOUT-26APR-JUN01,KXHEGSETHANNOUNCEOUT-26APR,Politics,no,37,37,0,98.0,3626,0,74,0.02040816326530612,1780034400,1780324520,290120,no
KXHIGHCHI-26JUN09-B84.5,KXHIGHCHI-26JUN09,Climate and Weather,no,3,3,0,86.0,258,0,42,0.16279069767441862,1780945200,1781092904,147704,no
KXHIGHCHI-26JUN21-T69,KXHIGHCHI-26JUN21,Climate and Weather,no,39,39,0,89.0,3471,0,429,0.12359550561797752,1781971200,1782129664,158464,no
KXHIGHLAX-26JUN26-B72.5,KXHIGHLAX-26JUN26,Climate and Weather,no,54,54,0,83.0,4482,0,-4482,-1.0,1782410400,1782559883,149483,yes
KXHIGHNY-26JUL09-B89.5,KXHIGHNY-26JUL09,Climate and Weather,no,59,59,0,98.0,5782,0,118,0.02040816326530612,1783594800,1783684860,90060,no
KXHIGHNY-26MAY28-B80.5,KXHIGHNY-26MAY28,Climate and Weather,no,2,2,0,97.0,194,0,6,0.030927835051546393,1779930000,1780056126,126126,no
KXHIGHTBOS-26MAY24-B57.5,KXHIGHTBOS-26MAY24,Climate and Weather,no,3,3,0,82.0,246,0,54,0.21951219512195122,1779598800,1779708761,109961,no
KXHIGHTLV-26JUN23-B107.5,KXHIGHTLV-26JUN23,Climate and Weather,no,14,14,0,64.0,896,0,504,0.5625,1782162000,1782300693,138693,no
KXHIGHTMIN-26MAY24-B82.5,KXHIGHTMIN-26MAY24,Climate and Weather,no,4,4,0,64.0,256,0,-256,-1.0,1779555600,1779708761,153161,yes
KXHORMUZWEEKLY-26JUL05-T175,KXHORMUZWEEKLY-26JUL05,Politics,yes,18,18,0,87.0,1566,0,234,0.14942528735632185,1782939600,1783435734,496134,yes
KXHORMUZWEEKLY-26JUN21-T10,KXHORMUZWEEKLY-26JUN21,Politics,yes,44,44,0,98.0,4312,0,88,0.02040816326530612,1782061200,1782225261,164061,yes
KXICEERO-26MAR-26JUN13,KXICEERO-26MAR,Politics,yes,505,505,0,99.0,49995,0,505,0.010101010101010102,1781085600,1781107044,21444,yes
KXINSOSNOMR-26-DMOR,KXINSOSNOMR-26,Elections,no,65,65,0,91.0,5915,0,585,0.0989010989010989,1781377200,1782060715,683515,no
KXINSOSNOMR-26-MENG,KXINSOSNOMR-26,Elections,yes,14,14,0,83.0,1162,0,238,0.20481927710843373,1781740800,1782060715,319915,yes
KXLAGODAYS-26JUN-0,KXLAGODAYS-26JUN,Politics,yes,13,13,0,96.0,1248,0,52,0.041666666666666664,1782219600,1782922451,702851,yes
KXLAGODAYS-26MAY-2,KXLAGODAYS-26MAY,Politics,no,105,105,0,96.0,10080,0,420,0.041666666666666664,1779433200,1780325390,892190,no
KXLLM1-26MAY31-A,KXLLM1-26MAY31,Science and Technology,yes,148,148,0,98.0,14504,6,290,0.019994484280198566,1779584400,1780272580,688180,yes
KXLOWTMIA-26JUN21-B77.5,KXLOWTMIA-26JUN21,Climate and Weather,no,32,32,0,61.0,1952,0,1248,0.639344262295082,1781985600,1782127884,142284,no
KXMAKERFIELDBY-27JAN01-LAB,KXMAKERFIELDBY-27JAN01,Elections,yes,561,561,0,89.0,49929,0,6171,0.12359550561797752,1781042400,1781839738,797338,yes
KXMAKERFIELDMOV-MAKERFIELDBY27JAN01-ABUR-P7,KXMAKERFIELDMOV-MAKERFIELDBY27JAN01,Elections,no,1,1,0,81.0,81,0,19,0.2345679012345679,1781650800,1781839787,188987,no
KXMATHAI-26JUN30-CHAT,KXMATHAI-26JUN30,Science and Technology,no,12,12,0,97.0,1164,0,36,0.030927835051546393,1782482400,1782833221,350821,no
KXME02D-26-JWOO,KXME02D-26,Elections,no,3,3,0,90.0,270,0,30,0.1111111111111111,1781053200,1781874228,821028,no
