ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result
KXAAAGASD-26JUL07-3.795,KXAAAGASD-26JUL07,Economics,no,198,198,0,90.0,17820,0,1980,0.1111111111111111,1783382400,1783425334,42934,no
KXAAAGASD-26JUN14-4.065,KXAAAGASD-26JUN14,Economics,yes,520,520,0,96.0,49920,0,2080,0.041666666666666664,1781395200,1781445093,49893,yes
KXAAAGASD-26JUN14-4.085,KXAAAGASD-26JUN14,Economics,no,60,60,0,98.0,5880,0,120,0.02040816326530612,1781398800,1781445093,46293,no
KXAAAGASD-26JUN29-3.850,KXAAAGASD-26JUN29,Economics,yes,89,89,0,95.0,8455,0,445,0.05263157894736842,1782684000,1782738742,54742,yes
KXAAAGASD-26MAY26-4.475,KXAAAGASD-26MAY26,Economics,yes,143,143,0,93.56643356643356,13380,0,920,0.0687593423019432,1779728400,1779800311,71911,yes
KXAAAGASM-26MAY31-4.32,KXAAAGASM-26MAY31,Economics,yes,152,152,0,95.0,14440,13,747,0.05173130193905817,1780149600,1780243550,93950,yes
KXAAAGASW-26JUN22-3.926,KXAAAGASW-26JUN22,Economics,yes,45,45,0,93.0,4185,0,315,0.07526881720430108,1782039600,1782134444,94844,yes
KXAPRPOTUS-26JUN26-41.2,KXAPRPOTUS-26JUN26,Politics,no,46,46,0,98.0,4508,0,92,0.02040816326530612,1782475200,1782489838,14638,no
KXATTENDUFC250-26JUN-KPAT,KXATTENDUFC250-26JUN,Politics,yes,464,464,0,93.0,43152,0,3248,0.07526881720430108,1781496000,1781524173,28173,yes
KXB200Q-26JUN30-5.670,KXB200Q-26JUN30,Science and Technology,yes,11,11,0,93.0,1023,0,77,0.07526881720430108,1782090000,1782142184,52184,yes
KXFABLERESTORE-27-26JUN20,KXFABLERESTORE-27,Science and Technology,no,345,345,0,91.48695652173913,31563,0,2937,0.09305199125558407,1781852400,1781967848,115448,no
KXGOVOKNOMR-26-CKEA,KXGOVOKNOMR-26,Elections,no,526,526,0,95.0,49970,0,2630,0.05263157894736842,1781589600,1781663433,73833,no
KXH200Q-26JUN30-3.990,KXH200Q-26JUN30,Science and Technology,yes,3,3,0,97.0,291,0,9,0.030927835051546393,1782777600,1782830381,52781,yes
KXHIGHCHI-26JUN09-B84.5,KXHIGHCHI-26JUN09,Climate and Weather,no,89,89,0,91.64044943820225,8156,0,744,0.09122118685630211,1780999200,1781092904,93704,no
KXHIGHCHI-26JUN21-T69,KXHIGHCHI-26JUN21,Climate and Weather,no,18,18,0,90.44444444444444,1628,0,172,0.10565110565110565,1782032400,1782129664,97264,no
KXHIGHLAX-26JUN26-B72.5,KXHIGHLAX-26JUN26,Climate and Weather,yes,520,520,0,96.0,49920,0,2080,0.041666666666666664,1782507600,1782559883,52283,yes
