ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result
538APPROVE-22MAY04-B42.2,538APPROVE-22MAY04,Politics,yes,90,0,90,95.0,8550,30,420,0.04912280701754386,1651698979,1651774740,75761,yes
538APPROVE-24JAN24-B38.6,538APPROVE-24JAN24,Politics,yes,100,0,100,92.0,9200,52,748,0.08130434782608696,1706125302,1706277661,152359,yes
538APPROVE-24JAN31-B39.3,538APPROVE-24JAN31,Politics,yes,1,0,1,97.0,97,1,2,0.020618556701030927,1706756920,1706808960,52040,yes
BBB-22NOV08,BBB,Politics,yes,6,0,6,96.0,576,2,22,0.03819444444444445,1659711866,1660842720,1130854,yes
CPI-22APR-T0.1,CPI-22APR,Economics,yes,3,0,3,90.0,270,2,28,0.1037037037037037,1651497248,1652288760,791512,yes
CPI-22JUL-T0.1,CPI-22JUL,Economics,yes,100,0,100,90.0,9000,63,-9063,-1.007,1659366038,1660151280,785242,no
CPI-22JUN-T0.4,CPI-22JUN,Economics,yes,6,0,6,94.0,564,3,33,0.05851063829787234,1656878330,1657731780,853450,yes
CPI-22JUN-T0.5,CPI-22JUN,Economics,yes,24,0,24,92.0,2208,13,179,0.08106884057971014,1656431311,1657731780,1300469,yes
CPI-22JUN-T0.6,CPI-22JUN,Economics,yes,25,0,25,94.0,2350,10,140,0.059574468085106386,1657581493,1657731780,150287,yes
CPI-22JUN-T0.7,CPI-22JUN,Economics,yes,83,0,83,91.0,7553,48,699,0.09254600820865881,1657492320,1657731780,239460,yes
CPI-22MAR-T0.8,CPI-22MAR,Economics,yes,100,0,100,93.0,9300,46,654,0.0703225806451613,1649707283,1649783220,75937,yes
CPI-22MAY-T0.4,CPI-22MAY,Economics,yes,25,0,25,92.0,2300,13,187,0.08130434782608696,1654096196,1654880940,784744,yes
CPI-22MAY-T0.5,CPI-22MAY,Economics,yes,50,0,50,93.0,4650,23,327,0.0703225806451613,1654794991,1654880940,85949,yes
