ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result
538APPROVE-22AUG24-T41.4,538APPROVE-22AUG24,Politics,no,249,249,0,98.0,24402,0,498,0.02040816326530612,1661378348,1661447100,68752,no
538APPROVE-22AUG31-T42.3,538APPROVE-22AUG31,Politics,no,43,43,0,91.0,3913,0,-3913,-1.0,1661963214,1662051840,88626,yes
538APPROVE-22NOV09-T41.2,538APPROVE-22NOV09,Politics,no,41,41,0,97.0,3977,0,-3977,-1.0,1668028930,1668110100,81170,yes
ACPI-22-B6.5,ACPI-22,Economics,yes,25,25,0,95.0,2375,0,125,0.05263157894736842,1673363940,1673550240,186300,yes
APRPOTUS-21NOV05-T42.3,APRPOTUS-21NOV05,Politics,yes,25,25,0,96.0,2400,0,100,0.041666666666666664,1636117639,1636232400,114761,yes
CPI-21DEC-T0.8,CPI-21DEC,Economics,no,10,10,0,94.0,940,1,59,0.0627659574468085,1641925995,1642068007,142012,no
CPI-22APR-T0.6,CPI-22APR,Economics,no,25,25,0,93.0,2325,3,172,0.07397849462365591,1652205022,1652288760,83738,no
CPI-22APR-T0.7,CPI-22APR,Economics,no,37,37,0,91.0,3367,6,327,0.09711909711909712,1652234983,1652288760,53777,no
CPI-22APR-T0.8,CPI-22APR,Economics,no,5,5,0,96.0,480,1,19,0.03958333333333333,1652206240,1652288760,82520,no
CPI-22AUG-T0.3,CPI-22AUG,Economics,no,12,12,0,96.0,1152,1,47,0.04079861111111111,1663028799,1663089180,60381,no
CPI-22AUG-T0.4,CPI-22AUG,Economics,no,6,6,0,98.0,588,1,11,0.01870748299319728,1663031022,1663089180,58158,no
CPI-22DEC-T0.0,CPI-22DEC,Economics,no,51,51,0,90.0,4590,9,501,0.10915032679738562,1673528498,1673550421,21923,no
CPI-22DEC-T0.1,CPI-22DEC,Economics,no,19,19,0,94.0,1786,2,112,0.06270996640537514,1673466594,1673550240,83646,no
CPI-22JUL-T0.8,CPI-22JUL,Economics,no,12,12,0,96.0,1152,1,47,0.04079861111111111,1660077093,1660151340,74247,no
CPI-22JUN-T0.4,CPI-22JUN,Economics,yes,1,1,0,97.0,97,1,2,0.020618556701030927,1657653904,1657731780,77876,yes
CPI-22JUN-T1.3,CPI-22JUN,Economics,no,92,92,0,93.0,8556,11,633,0.07398316970546985,1657640766,1657731840,91074,no
CPI-22MAR-T0.8,CPI-22MAR,Economics,yes,51,51,0,90.0,4590,9,501,0.10915032679738562,1649710120,1649783220,73100,yes
CPI-22MAY-T0.3,CPI-22MAY,Economics,yes,25,25,0,96.0,2400,2,98,0.04083333333333333,1654808250,1654880940,72690,yes
CPI-22MAY-T0.4,CPI-22MAY,Economics,yes,137,137,0,97.0,13289,8,403,0.030325833396041838,1654819770,1654880940,61170,yes
CPI-22NOV-T0.0,CPI-22NOV,Economics,yes,62,62,0,91.0,5642,9,549,0.09730591988656505,1670883131,1670954520,71389,yes
CPI-22NOV-T0.5,CPI-22NOV,Economics,no,92,92,0,93.0,8556,11,633,0.07398316970546985,1670879058,1670954520,75462,no
CPI-22SEP-T0.0,CPI-22SEP,Economics,yes,20,20,0,92.0,1840,3,157,0.08532608695652173,1665610720,1665682260,71540,yes
CPI-23APR-T0.1,CPI-23APR,Economics,yes,24,24,0,98.0,2352,1,47,0.019982993197278913,1683662088,1683738241,76153,yes
CPI-23MAR-T0.0,CPI-23MAR,Economics,yes,47,47,0,97.0,4559,3,138,0.03026979600789647,1681247094,1681319041,71947,yes
CPI-23MAR-T0.3,CPI-23MAR,Economics,no,32,32,0,92.0,2944,5,251,0.08525815217391304,1681248100,1681319100,71000,no
CPI-23MAR-T0.4,CPI-23MAR,Economics,no,6,6,0,98.0,588,1,11,0.01870748299319728,1681247109,1681319101,71992,no
