ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result
APRPOTUS-21NOV05-T42.3,APRPOTUS-21NOV05,Politics,yes,126,126,0,95.0,11970,0,630,0.05263157894736842,1636135062,1636232400,97338,yes
CPI-21DEC-T0.8,CPI-21DEC,Economics,no,17,17,0,92.0,1564,3,133,0.0850383631713555,1641946366,1642068007,121641,no
DCEIL-21OCT01,DCEIL-21OCT,Politics,no,39,39,0,98.0,3822,0,78,0.02040816326530612,1633045341,1633273200,227859,no
DCEIL-23JUN1,DCEIL-23DEC31,Politics,no,520,520,0,96.0,49920,0,2080,0.041666666666666664,1685662854,1685765521,102667,no
FED-22JULY-T2.25,FED-22JUL,Economics,yes,332,332,0,97.0,32204,17,979,0.03039995031673084,1658931567,1658959200,27633,yes
FED-22JUN-T1.75,FED-22JUN,Economics,no,105,105,0,96.0,10080,8,412,0.040873015873015874,1655303948,1655338500,34552,no
FED-22MAR-T0.25,FED-22MAR,Economics,yes,26,26,0,97.0,2522,2,76,0.03013481363996828,1647445135,1647465424,20289,yes
FED-22MAR-T0.5,FED-22MAR,Economics,no,116,116,0,94.0,10904,12,684,0.06272927366104182,1647444209,1647465424,21215,no
FED-22MAY-T0.75,FED-22MAY,Economics,yes,213,213,0,96.0,20448,15,837,0.0409330985915493,1651670747,1651698360,27613,yes
FED-22MAY-T1,FED-22MAY,Economics,no,116,116,0,94.0,10904,12,684,0.06272927366104182,1651674783,1651698360,23577,no
FED-22NOV-T3.75,FED-22NOV,Economics,yes,213,213,0,96.0,20448,15,837,0.0409330985915493,1667404125,1667450161,46036,yes
FED-22NOV-T4.00,FED-22NOV,Economics,no,11,11,0,98.0,1078,1,21,0.01948051948051948,1667407518,1667450160,42642,no
FED-22SEP-T3.00,FED-22SEP,Economics,yes,373,373,0,98.0,36554,13,733,0.020052525031460305,1663780387,1663814280,33893,yes
FED-22SEP-T3.25,FED-22SEP,Economics,no,51,51,0,90.0,4590,9,501,0.10915032679738562,1663767203,1663814280,47077,no
FED-23FEB-T4.75,FED-23FEB,Economics,no,8,8,0,97.0,776,1,23,0.029639175257731958,1675260219,1675289460,29241,no
FED-23JUN-T5.25,FED-23JUN,Economics,no,332,332,0,97.0,32204,17,979,0.03039995031673084,1686761893,1686780060,18167,no
FED-23MAR-T5.00,FED-23MAR,Economics,no,213,213,0,96.0,20448,15,837,0.0409330985915493,1679496591,1679519221,22630,no
FED-23MAY-T5.00,FED-23MAY,Economics,yes,116,116,0,94.0,10904,12,684,0.06272927366104182,1683122358,1683147961,25603,yes
FED-24JUN-T5.25,FED-24JUN,Economics,yes,505,505,0,98.0,49490,18,992,0.02004445342493433,1718201328,1718265960,64632,yes
FEDDECISION-23JUL-H25,FEDDECISION-23JUL,Economics,yes,61,61,0,98.0,5978,3,119,0.01990632318501171,1690393087,1690445640,52553,yes
FEDDECISION-23JUN-H0,FEDDECISION-23JUN,Economics,yes,2,2,0,96.0,192,1,7,0.036458333333333336,1686764853,1686819720,54867,yes
FEDDECISION-23JUN-H25,FEDDECISION-23JUN,Economics,no,124,124,0,96.0,11904,9,487,0.04091061827956989,1686765097,1686819720,54623,no
FEDDECISION-23MAY-H0,FEDDECISION-23MAY,Economics,no,116,116,0,94.0,10904,12,684,0.06272927366104182,1683134247,1683148021,13774,no
FEDDECISION-23MAY-H25,FEDDECISION-23MAY,Economics,yes,92,92,0,93.0,8556,11,633,0.07398316970546985,1683122330,1683148021,25691,yes
FEDDECISION-23NOV-H25,FEDDECISION-23NOV,Economics,no,123,123,0,98.0,12054,5,241,0.019993363198938113,1698857271,1698914400,57129,no
FEDDECISION-23SEP-H25,FEDDECISION-23SEP,Economics,no,108,108,0,98.0,10584,4,212,0.0200302343159486,1695218032,1695305040,87008,no
FEDDECISION-24JUL-C25,FEDDECISION-24JUL,Economics,no,125,125,0,97.0,12125,7,368,0.030350515463917527,1722432000,1722457201,25201,no
FEDDECISION-24JUL-H0,FEDDECISION-24JUL,Economics,yes,58,58,0,97.0,5626,3,171,0.0303945965161749,1722433755,1722457201,23446,yes
FEDDECISION-24JUN-C25,FEDDECISION-24JUN,Economics,no,70,70,0,98.0,6860,3,137,0.019970845481049562,1718210724,1718223061,12337,no
FEDDECISION-24JUN-H0,FEDDECISION-24JUN,Economics,yes,160,160,0,98.0,15680,6,314,0.020025510204081633,1718209767,1718223061,13294,yes
GASM-22JUL11-A4.60,GASM-22JUL11,Economics,no,94,94,0,96.0,9024,0,376,0.041666666666666664,1657570044,1657645440,75396,no
HIGHAUS-23DEC10-B59.5,HIGHAUS-23DEC10,Climate and Weather,yes,64,64,0,97.0,6208,0,192,0.030927835051546393,1702256875,1702303380,46505,yes
HIGHAUS-24FEB06-B69.5,HIGHAUS-24FEB06,Climate and Weather,yes,12,12,0,97.0,1164,0,36,0.030927835051546393,1707272074,1707315180,43106,yes
HIGHAUS-24JAN27-B62.5,HIGHAUS-24JAN27,Climate and Weather,yes,6,6,0,91.0,546,0,54,0.0989010989010989,1706400423,1706479980,79557,yes
HIGHAUS-24MAR03-B80.5,HIGHAUS-24MAR03,Climate and Weather,yes,6,6,0,97.0,582,0,18,0.030927835051546393,1709512004,1709561220,49216,yes
HIGHAUS-24MAY20-B93.5,HIGHAUS-24MAY20,Climate and Weather,yes,2,2,0,98.0,196,0,4,0.02040816326530612,1716249884,1716296520,46636,yes
HIGHCHI-21DEC05-T48,HIGHCHI-21DEC05,Climate and Weather,no,41,41,0,96.0,3936,0,164,0.041666666666666664,1638749160,1638853202,104042,no
HIGHCHI-21DEC31-T46,HIGHCHI-21DEC31,Climate and Weather,no,163,163,0,96.0,15648,0,652,0.041666666666666664,1640997181,1641060120,62939,no
HIGHCHI-21NOV13-T40,HIGHCHI-21NOV13,Climate and Weather,yes,2,2,0,95.0,190,0,10,0.05263157894736842,1636853739,1636952820,99081,yes
HIGHCHI-21OCT10-T84,HIGHCHI-21OCT10,Climate and Weather,no,30,30,0,93.0,2790,0,210,0.07526881720430108,1633908853,1634050860,142007,no
HIGHCHI-22APR07-T46,HIGHCHI-22APR07,Climate and Weather,no,7,7,0,97.0,679,0,21,0.030927835051546393,1649383084,1649437440,54356,no
HIGHCHI-22APR25-T57,HIGHCHI-22APR25,Climate and Weather,yes,153,153,0,96.0,14688,0,612,0.041666666666666664,1650941355,1650992640,51285,yes
HIGHCHI-22DEC31-B39.5,HIGHCHI-22DEC31,Climate and Weather,yes,31,31,0,95.0,2945,0,155,0.05263157894736842,1672531762,1672596660,64898,yes
HIGHCHI-22FEB08-T40,HIGHCHI-22FEB08,Climate and Weather,no,77,77,0,96.0,7392,0,-7392,-1.0,1644380978,1644429780,48802,yes
HIGHCHI-22JUN17-T88,HIGHCHI-22JUN17,Climate and Weather,no,5,5,0,98.0,490,0,10,0.02040816326530612,1655524313,1655571720,47407,no
HIGHCHI-22JUN19-B87.5,HIGHCHI-22JUN19,Climate and Weather,yes,66,66,0,92.0,6072,0,528,0.08695652173913043,1655677611,1655744520,66909,yes
HIGHCHI-22JUN28-B87.5,HIGHCHI-22JUN28,Climate and Weather,yes,33,33,0,96.0,3168,0,132,0.041666666666666664,1656472009,1656522300,50291,yes
HIGHCHI-22MAY08-T72,HIGHCHI-22MAY08,Climate and Weather,no,3,3,0,98.0,294,0,6,0.02040816326530612,1652057479,1652115660,58181,no
HIGHCHI-22MAY16-T80,HIGHCHI-22MAY16,Climate and Weather,no,12,12,0,94.0,1128,0,72,0.06382978723404255,1652745348,1652807220,61872,no
HIGHCHI-22MAY25-B82.5,HIGHCHI-22MAY25,Climate and Weather,yes,16,16,0,93.0,1488,0,112,0.07526881720430108,1653520973,1653584520,63547,yes
HIGHCHI-22MAY25-T83,HIGHCHI-22MAY25,Climate and Weather,no,4,4,0,95.0,380,0,20,0.05263157894736842,1653522990,1653584520,61530,no
HIGHCHI-22MAY31-B91.5,HIGHCHI-22MAY31,Climate and Weather,no,5,5,0,91.0,455,0,45,0.0989010989010989,1654034659,1654103100,68441,no
HIGHCHI-23DEC06-B39.5,HIGHCHI-23DEC06,Climate and Weather,yes,5,5,0,97.0,485,0,-485,-1.0,1701924497,1701959040,34543,no
HIGHCHI-23JAN16-T50,HIGHCHI-23JAN16,Climate and Weather,no,1,1,0,98.0,98,0,-98,-1.0,1673924226,1673979000,54774,yes
HIGHCHI-24APR22-B68.5,HIGHCHI-24APR22,Climate and Weather,yes,8,8,0,98.0,784,0,16,0.02040816326530612,1713835999,1713882060,46061,yes
HIGHNY-21AUG23-T83,HIGHNY-21AUG23,Climate and Weather,no,32,32,0,92.0,2944,0,256,0.08695652173913043,1629762914,1629903660,140746,no
HIGHNY-21AUG26-T92,HIGHNY-21AUG26,Climate and Weather,no,42,42,0,98.0,4116,0,84,0.02040816326530612,1630019424,1630163040,143616,no
HIGHNY-21SEP05-T75,HIGHNY-21SEP05,Climate and Weather,no,25,25,0,97.0,2425,0,75,0.030927835051546393,1630883155,1631026860,143705,no
HIGHNY-22APR03-T50,HIGHNY-22APR03,Climate and Weather,no,5,5,0,97.0,485,0,15,0.030927835051546393,1649037250,1649092080,54830,no
HIGHNY-22DEC02-B46.5,HIGHNY-22DEC02,Climate and Weather,no,21,21,0,95.0,1995,0,-1995,-1.0,1670029936,1670090820,60884,yes
HIGHNY-22DEC02-T46,HIGHNY-22DEC02,Climate and Weather,yes,4,4,0,95.0,380,0,-380,-1.0,1670039818,1670090820,51002,no
HIGHNY-22DEC02-T49,HIGHNY-22DEC02,Climate and Weather,no,164,164,0,98.0,16072,0,328,0.02040816326530612,1670041129,1670090820,49691,no
