ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result,settle_ts,flb_train_ticker,subwindow
FEDDECISION-24SEP-H0,FEDDECISION-24SEP,Economics,no,487,487,0,98.0,47726,17,957,0.02005196329044965,1726669412,1726690920,21508,no,1726690920,False,CLEAN
KXAAAGASW-24NOV04-US-3.130,KXAAAGASW-24NOV04-US,Economics,no,223,223,0,91.0,20293,0,2007,0.0989010989010989,1730685685,1730742911,57226,no,1730742911,False,CLEAN
KXAAAGASW-24NOV18-US-3.083,KXAAAGASW-24NOV18-US,Economics,no,510,510,0,98.0,49980,0,1020,0.02040816326530612,1731892774,1731946981,54207,no,1731946981,False,CLEAN
KXAAAGASW-24NOV25-US-3.071,KXAAAGASW-24NOV25-US,Economics,no,81,81,0,97.0,7857,0,243,0.030927835051546393,1732493502,1732550939,57437,no,1732550939,False,CLEAN
KXTSAW-24DEC01-A2.50,KXTSAW-24DEC01,Economics,yes,531,531,0,94.0,49914,0,3186,0.06382978723404255,1733100392,1733151723,51331,yes,1733151723,False,CLEAN
KXAAAGASW-24DEC02-US-3.056,KXAAAGASW-24DEC02-US,Economics,no,510,510,0,98.0,49980,0,1020,0.02040816326530612,1733110015,1733152374,42359,no,1733152374,False,CLEAN
KXTSAW-24DEC15-A2.35,KXTSAW-24DEC15,Economics,yes,6,6,0,92.0,552,0,48,0.08695652173913043,1734325101,1734361335,36234,yes,1734361335,False,CLEAN
KXAAAGASW-24DEC23-US-3.024,KXAAAGASW-24DEC23-US,Economics,yes,24,24,0,97.0,2328,0,72,0.030927835051546393,1734912727,1734967430,54703,yes,1734967430,False,CLEAN
KXTSAW-24DEC22-A2.60,KXTSAW-24DEC22,Economics,no,41,41,0,97.0,3977,0,123,0.030927835051546393,1734919200,1734966126,46926,no,1734966126,False,CLEAN
KXTSAW-24DEC29-A2.50,KXTSAW-24DEC29,Economics,yes,1,1,0,98.0,98,0,2,0.02040816326530612,1735531729,1735570952,39223,yes,1735570952,False,CLEAN
KXTSAW-25JAN12-A2.15,KXTSAW-25JAN12,Economics,no,41,41,0,96.0,3936,0,164,0.041666666666666664,1736737160,1736780507,43347,no,1736780507,False,CLEAN
KXFEDDECISION-25JAN-C25,KXFEDDECISION-25JAN,Economics,no,505,505,0,98.0,49490,18,992,0.02004445342493433,1738166098,1738181587,15489,no,1738181587,False,CLEAN
KXTSAW-25FEB02-A1.95,KXTSAW-25FEB02,Economics,yes,26,26,0,91.0,2366,0,234,0.0989010989010989,1738555200,1738625460,70260,yes,1738625460,False,CLEAN
KXTSAW-25MAR09-A2.35,KXTSAW-25MAR09,Economics,yes,91,91,0,96.0,8736,0,364,0.041666666666666664,1741568400,1741615293,46893,yes,1741615293,False,CLEAN
KXAAAGASM-25APR30-3.20,KXAAAGASM-25APR30,Economics,no,142,142,0,97.0,13774,8,418,0.030347030637432843,1745975250,1746019920,44670,no,1746019920,False,CLEAN
KXAAAGASM-25APR30-3.15,KXAAAGASM-25APR30,Economics,yes,152,152,0,95.0,14440,13,747,0.05173130193905817,1745977586,1746019920,42334,yes,1746019920,False,CLEAN
KXFEDDECISION-25MAY-C25,KXFEDDECISION-25MAY,Economics,no,213,213,0,96.0,20448,15,837,0.0409330985915493,1746624132,1746641513,17381,no,1746641513,False,CLEAN
FED-25MAY-T4.25,FED-25MAY,Economics,yes,332,332,0,97.0,32204,17,979,0.03039995031673084,1746624305,1746641513,17208,yes,1746641513,False,CLEAN
KXFEDDECISION-25MAY-H0,KXFEDDECISION-25MAY,Economics,yes,213,213,0,96.0,20448,15,837,0.0409330985915493,1746624666,1746641513,16847,yes,1746641513,False,CLEAN
FED-25MAY-T4.50,FED-25MAY,Economics,no,270,270,0,98.0,26460,10,530,0.0200302343159486,1746639509,1746641513,2004,no,1746641513,False,CLEAN
KXCPIYOY-25APR-T2.8,KXCPIYOY-25APR,Economics,no,62,62,0,98.0,6076,3,121,0.01991441737985517,1747137685,1747141085,3400,no,1747141085,False,CLEAN
KXEGGS-APR-0,KXEGGS-APR,Economics,no,23,23,0,95.0,2185,2,113,0.0517162471395881,1747138100,1747146492,8392,no,1747146492,False,CLEAN
KXCPIYOY-25APR-T2.7,KXCPIYOY-25APR,Economics,no,125,125,0,97.0,12125,7,368,0.030350515463917527,1747138780,1747141085,2305,no,1747141085,False,CLEAN
KXAAAGASM-25MAY31-3.15,KXAAAGASM-25MAY31,Economics,yes,75,75,0,92.0,6900,10,-6910,-1.0014492753623188,1748657586,1748705567,47981,no,1748705567,False,CLEAN
KXPAYROLLS-25MAY-T200000,KXPAYROLLS-25MAY,Economics,no,62,62,0,91.0,5642,9,549,0.09730591988656505,1749212190,1749217696,5506,no,1749217696,False,CLEAN
KXCPI-25MAY-T0.0,KXCPI-25MAY,Economics,yes,4,4,0,91.0,364,1,35,0.09615384615384616,1749643256,1749650536,7280,yes,1749650536,False,CLEAN
KXFEDDECISION-25JUN-C25,KXFEDDECISION-25JUN,Economics,no,332,332,0,97.0,32204,17,979,0.03039995031673084,1750253119,1750273615,20496,no,1750273615,False,CLEAN
KXFEDDECISION-25JUN-H0,KXFEDDECISION-25JUN,Economics,yes,332,332,0,97.0,32204,17,979,0.03039995031673084,1750253583,1750273615,20032,yes,1750273615,False,CLEAN
FED-25JUN-T4.25,FED-25JUN,Economics,yes,505,505,0,98.0,49490,18,992,0.02004445342493433,1750257332,1750269982,12650,yes,1750269982,False,CLEAN
KXAAAGASM-25JUN30-3.25,KXAAAGASM-25JUN30,Economics,no,165,165,0,98.0,16170,6,324,0.020037105751391466,1751240224,1751290494,50270,no,1751290494,False,CLEAN
KXAAAGASM-25JUN30-3.15,KXAAAGASM-25JUN30,Economics,yes,237,237,0,98.0,23226,9,465,0.02002066649444588,1751240621,1751290494,49873,yes,1751290494,False,CLEAN
KXAAAGASM-25JUN30-3.20,KXAAAGASM-25JUN30,Economics,no,505,505,0,98.0,49490,18,992,0.02004445342493433,1751255134,1751290494,35360,no,1751290494,False,CLEAN
KXCPIYOY-25JUN-T2.4,KXCPIYOY-25JUN,Economics,yes,152,152,0,95.0,14440,13,747,0.05173130193905817,1752581070,1752587981,6911,yes,1752587981,False,CLEAN
KXCPIYOY-25JUN-T2.7,KXCPIYOY-25JUN,Economics,no,62,62,0,91.0,5642,9,549,0.09730591988656505,1752581915,1752587992,6077,no,1752587992,False,CLEAN
KXGDP-25JUL30-T3.5,KXGDP-25JUL30,Economics,no,51,51,0,90.0,4590,9,501,0.10915032679738562,1753877053,1753882362,5309,no,1753882362,False,CLEAN
KXFEDDECISION-25JUL-H0,KXFEDDECISION-25JUL,Economics,yes,332,332,0,97.0,32204,17,979,0.03039995031673084,1753881675,1753902427,20752,yes,1753902427,False,CLEAN
