ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result,settle_ts,flb_train_ticker,subwindow
HIGHMIA-24SEP08-B90.5,HIGHMIA-24SEP08,Climate and Weather,yes,11,11,0,97.0,1067,0,33,0.030927835051546393,1725837354,1725886920,49566,yes,1725886920,False,CLEAN
HIGHNY-24SEP13-B82.5,HIGHNY-24SEP13,Climate and Weather,yes,7,7,0,97.0,679,0,21,0.030927835051546393,1726272152,1726319280,47128,yes,1726319280,False,CLEAN
FEDDECISION-24SEP-H0,FEDDECISION-24SEP,Economics,no,487,487,0,98.0,47726,17,957,0.02005196329044965,1726669412,1726690920,21508,no,1726690920,False,CLEAN
HIGHMIA-24OCT02-B92.5,HIGHMIA-24OCT02,Climate and Weather,yes,12,12,0,98.0,1176,0,24,0.02040816326530612,1727925772,1727962320,36548,yes,1727962320,False,CLEAN
HIGHMIA-24OCT18-B81.5,HIGHMIA-24OCT18,Climate and Weather,no,15,15,0,95.0,1425,0,75,0.05263157894736842,1729289262,1729346940,57678,no,1729346940,False,CLEAN
HIGHCHI-24OCT22-T76,HIGHCHI-24OCT22,Climate and Weather,no,4,4,0,95.0,380,0,20,0.05263157894736842,1729634600,1729688640,54040,no,1729688640,False,CLEAN
HIGHNY-24OCT23-B75.5,HIGHNY-24OCT23,Climate and Weather,yes,249,249,0,98.0,24402,0,498,0.02040816326530612,1729726108,1729782420,56312,yes,1729782420,False,CLEAN
HIGHNY-24OCT23-B77.5,HIGHNY-24OCT23,Climate and Weather,no,30,30,0,98.0,2940,0,60,0.02040816326530612,1729728089,1729782420,54331,no,1729782420,False,CLEAN
KXHIGHCHI-24OCT28-B70.5,KXHIGHCHI-24OCT28,Climate and Weather,no,295,295,0,97.0,28615,0,885,0.030927835051546393,1730157286,1730203247,45961,no,1730203247,False,CLEAN
KXHIGHCHI-24OCT28-T71,KXHIGHCHI-24OCT28,Climate and Weather,no,39,39,0,97.0,3783,0,117,0.030927835051546393,1730163965,1730203247,39282,no,1730203247,False,CLEAN
KXAAAGASW-24NOV04-US-3.130,KXAAAGASW-24NOV04-US,Economics,no,223,223,0,91.0,20293,0,2007,0.0989010989010989,1730685685,1730742911,57226,no,1730742911,False,CLEAN
KXINX-24NOV04-B5687,KXINX-24NOV04,Financials,no,6,6,0,91.0,546,0,54,0.0989010989010989,1730738343,1730768506,30163,no,1730768506,False,CLEAN
KXHIGHMIA-24NOV04-B82.5,KXHIGHMIA-24NOV04,Climate and Weather,no,352,352,0,96.0,33792,0,1408,0.041666666666666664,1730761811,1730811639,49828,no,1730811639,False,CLEAN
KXHIGHMIA-24NOV04-B86.5,KXHIGHMIA-24NOV04,Climate and Weather,no,7,7,0,96.0,672,0,28,0.041666666666666664,1730762240,1730811639,49399,no,1730811639,False,CLEAN
KXROGANKH-24-NOV05,KXROGANKH-24,Politics,no,515,515,0,97.0,49955,0,1545,0.030927835051546393,1730771597,1730819968,48371,no,1730819968,False,CLEAN
KXHIGHNY-24NOV10-B57.5,KXHIGHNY-24NOV10,Climate and Weather,yes,464,464,0,93.0,43152,0,3248,0.07526881720430108,1731290067,1731330029,39962,yes,1731330029,False,CLEAN
KXAAAGASW-24NOV18-US-3.083,KXAAAGASW-24NOV18-US,Economics,no,510,510,0,98.0,49980,0,1020,0.02040816326530612,1731892774,1731946981,54207,no,1731946981,False,CLEAN
